"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","613.4","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","616.4","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","618.7","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","620.2","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","621.5","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","622.3","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5605.2","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5620.7","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5633.4","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5644.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5654.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5664.2","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5605.2","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5620.7","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5633.4","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5644.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5654.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066139","7.1.2.5.1.2","5664.2","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064087","7.1.2.6.1.1","3297.1","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064087","7.1.2.6.1.1","3308.3","","","","1"
